Part 1 contains the following cases:,Phần 1 – Bao gồm các trường hợp sau:
"Liu Xuguo (刘绪国): the first confirmed death case in a labor campGao Rongrong (高蓉蓉): disfigured before murderedWang Yunjie (王云洁): died with festered breasts as a result of electric shocksLi Zaiji (李再亟): subjected to organ harvestingWang Bin (王斌): beaten to death, his organs harvestedSu Juzhen (苏菊珍): died of drug torture",Lưu Tự Quốc (刘绪国): trường hợp tử vong đầu tiên được xác nhận trong một trại lao động
Yang Suhong (杨苏红): a disabled person tortured to death in a labor campZhang Chagnming (张长明): died of severe beatings and injuries on the feetYao Sanzhong (姚三忠)Li Zetao (李泽涛): killed with knife in the anusLi Deshan (李德善): died of psychiatric torture,Cao Dung Dung (高蓉蓉): bị biến dạng trước khi bị sát hại
Part 2 contains these cases:,Vương Vân Khiết (王云洁): chết vì bị mưng mủ ngực trầm trọng do kết quả của những cú sốc điện
Xue Xia (薛霞)Zhang Quanfu (张全福) and Zhang Qifa (张启发): father and son killed by the same labor campZhou Jingsen (周景森)Na Zhenxian (那振贤)Guo Shijun (郭士军)Jiang Xiqing (江锡清): his defense attorney was also torturedSun Shuxiang (孙淑香): killed after she was interviewed by attorney Gao Zhisheng,Lý Tái Cức (李再亟): bị mổ cướp nội tạng
Liu Xuguo (刘绪国),"Vương Bân (王斌): bị đánh đập đến chết, các cơ quan nội tạng bị mổ cướp"

Continued from:Part 1:http://en.minghui.org/html/a
Continued from Part 1 -Trends and Statistics of Persecution Cases in 2013 (Part 1), Tiếp theo Phần 1:http://vn.minghui.org/news/47936-xu-huong-va-thong-ke-cac-truong-hop-buc-hai-nam-2013.html
(Clearwisdom.net),Sống sót sau tai nạn xe hơi nhờ có lòng tốt với các học viên Đại Pháp
(Clearwisdom.net),Một bệnh nhân ung thư hạch bạch huyết đã lấy lại sức khỏe
Continued from:,Tiếp theo các phần trước:Phần 1:http://vn.mingh
