Court Hearing,Phiên xét xử,2
"He replied,",Anh ấy đã trả lời:,2
How despicable!,Thật đáng khinh bỉ!,2
Deaths in Custody,Tử vong trong khi bị giam giữ,3
Ms. Yang Xiaoming, bà Dương Hiểu Minh
Mr. Li Peigao,Ông Lý Bồi Cao,3
Ms. Zhang Yuzhen,Bà Trương Dục Trân,3
Arrest and Indictment,Vụ bắt giữ và cáo trạng,3
Five Prior Arrests,Năm vụ bắt giữ trước đó,3
27 Death Cases,27 trường hợp tử vong,3
"She screamed, “Help!”",Bà la lên: “Cứu tôi với!”,3
Ms. Hu Huomei,[MINH HUỆ 18-08-2023],3
Truthfulness-Compassion-Forbearance is good!,Chân Thiện Nhẫn hảo!,3
By a Minghui correspondent,Bài viết của phóng viên Minh Huệ,4
Taking up Falun Gong,Tu luyện Pháp Luân Công,4
Four Briefly Detained Again,Bốn người bị bắt giam trong thời gian ngắn một lần nữa,4
Torture illustration: hung up,Minh họa phương thức tra tấn: Treo lên,4
Her arms became disabled.,Cánh tay của bà đã trở nên tàn tật.,4
Violation of Legal Procedure,Vi phạm thủ tục pháp lý,4
Twenty-Plus Years of Censorship,Hơn 20 năm kiểm duyệt,4
Sentenced Without Legal Basis,Bị kết án dù không có cơ sở pháp lý,4
All five filed appeals.,Cả 5 học viên đều nộp đơn kháng cáo.,4
Arrested Twice in 2005,Hai vụ bắt giữ vào năm 2005,4
Falun Dafa is good!,Pháp Luân Đại Pháp hảo!,4
His body twitched uncontrollably.,Cơ thể ông co giật mất kiểm soát.,4
Targeted Again in 2015,Lại bị nhắm mục tiêu vào năm 2015,4
"Mr. Tang Zhifei, Anhui Province","Anh Đường Chí Phi, tỉnh An Huy",5
"Mr. Yao Xianmin, Jilin Province","Ông Diêu Hiến Miên, tỉnh Cát Lâm",5
This resulted in more persecution.,"Vì thế, ông bị bức hại nhiều hơn.",5
She asked what changed him.,Bà hỏi điều gì đã làm ông thay đổi như vậy.,5
Past Persecution of Ms. Fu,Những lần bà Phú bị bức hại trước đây,5
Torture illustration: Hung by wrists,Minh họa hình thức tra tấn: Treo lên bằng cổ tay,5
Brainwashed and Tortured in Prison,Bị tẩy não và tra tấn ở trong tù,5
His heart once stopped beating.,Có thời điểm tim ông Phạm đã ngừng đập.,5
"Mr. Cheng Qianyue, Shandong Province","Ông Trình Thiên Dược, tỉnh Sơn Đông",5
Her daughter was beyond devastated.,Con gái bà cảm thấy hết sức đau khổ tuyệt vọng.,5
Below are select death cases.,Dưới đây là một số trường hợp tử vong chọn lọc.,5
My academic performance quickly improved.”,Kết quả học tập của tôi nhanh chóng được cải thiện“.,5
First Arrest in March 2000,Vụ bắt giữ đầu tiên vào tháng 3 năm 2000,5
One Year of Forced Labor,1 năm lao động cưỡng bức,5
His wounds festered and oozed pus.,Vết thương của ông mưng mủ và chảy dịch mủ.,6
She refused to answer their questions.,Cô từ chối trả lời mọi câu hỏi của họ.,6
"She once wrote about her suffering,",Cô từng viết về những khổ nạn của mình:,6
Others confiscated his computer and printer.,Những người còn lại tịch thu máy tính và máy in của ông.,6
Arms Disabled While Serving 6-Year Sentence,Hai tay bị tàn tật trong thời gian thi hành bản án 6 năm,6
This torture lasted an entire week.,Sự tra tấn này kéo dài cả tuần.,6
She was detained for 30 days.,Bà bị giam giữ 30 ngày.,6
He was released in August 2019.,Ông được trả tự do vào tháng 8 năm 2019.,6
He became incontinent as a result.,Hậu quả dẫn đến ông ấy đại tiểu tiện không tự chủ.,6
Officer Xiong Jianguang orchestrated her arrest.,Cảnh sát Hùng Kiến Quang đã sắp xếp vụ bắt giữ bà.,6
"She died on October 6, 2020.",Bà đã qua đời vào ngày 6 tháng 10 năm 2020.,6
They visited Guo in his office.,Họ đến gặp ông Quách tại văn phòng của ông ta.,6
Prior 3-Year Detention Without Legal Grounds,Từng bị giam 3 năm dù không có cơ sở pháp lý,6
One-Year Sentence Following Arrest in 2020,Bản án 1 năm tù sau khi bị bắt vào năm 2020,6
The procedure took about 40 minutes.,Thủ thuật mất khoảng 40 phút.,6
Uterine Fibroid Disappeared Just Before Surgery,U xơ tử cung biến mất ngay trước khi phẫu thuật,6
Arrested Along with Three Other Practitioners,Bị bắt cùng với ba học viên khác,6
They took her computer and printer.,Họ lấy đi máy tính và máy in của bà.,6
The boy was terrified and traumatized.,Cậu bé vô cùng sợ hãi và bị tổn thương sâu sắc.,6
Her employer fired her soon afterwards.,Người chủ lao động cũng nhanh chóng sa thải cô.,6
Police Department Accepts Bail Dismissal Application,Công an huyện tiếp nhận đơn xin miễn trừ bảo lãnh tại ngoại,6
I couldn’t concentrate on my studies.,Tôi không thể tập trung vào việc học của mình.,6
She was detained for 15 days.,Bà đã bị giam giữ 15 ngày.,6
By a Minghui correspondent in China,Bài viết của phóng viên báo Minh Huệ ở Trung Quốc,6
Afterwards they began to follow him.,Sau đó họ bắt đầu theo dõi anh ấy.,6
Sentenced to Five Years in 2011,Bản án 5 năm tù vào năm 2011,6
They sentenced Mr. Zhu on June 20.,Họ đã tuyên án anh Chu vào ngày 20 tháng 6.,7
Her school terminated her not long afterwards.,Trường học của cô đã chấm dứt hợp đồng với cô không lâu sau đó.,7
She almost passed out on several occasions.,Bà gần như bị bất tỉnh nhiều lần.,7
"Our master, Li Hongzhi, will protect you.”","Sư phụ của mẹ, Lý Hồng Chí, sẽ bảo vệ các con”.",7
Her then-four-year-old daughter cried “Mom!” behind her.,Con gái của bà khi ấy mới bốn tuổi kêu khóc: “Mẹ ơi!” và đuổi theo phía sau.,7
Scabs formed but re-opened and festered again.,Vết thương đã đóng vảy nhưng lại bong ra và mưng mủ trở lại.,7
The result was confirmed by another ultrasound.,Kết quả đã được xác nhận bằng một siêu âm khác.,7
"By a Minghui correspondent in Shanghai, China","Bài của phóng viên báo Minh Huệ ở Thượng Hải, Trung Quốc",7
Parents’ Unsuccessful Efforts to Stop Son’s Indictment,"Cha mẹ nỗ lực để con trai không bị tuyên cáo trạng, nhưng vô ích",7
She had trouble breathing and couldn’t walk.,Bà Vương bị khó thở và không thể đi lại được.,7
All the items he carried were confiscated.,Toàn bộ đồ đạc cá nhân của ông mang theo đều bị tịch thu.,7
I’m going to file complaints against them!”,Tôi sẽ nộp đơn khiếu nại họ!”,7
"Briefly Detained Again on July 14, 2022",Bị bắt giam trong thời gian ngắn vào ngày 14 tháng 7 năm 2022,7
It is unclear whether that has happened.,Không rõ liệu điều đó có xảy ra không.,7
"He convicted them on April 14, 2023.",Ông kết tội họ vào ngày 14 tháng 4 năm 2023.,7
Brutally Tortured for Being a “Repeat Offender”,Bị tra tấn dã man vì “tái phạm”,7
He was stripped naked and body searched.,Ông bị lột trần truồng và khám xét cơ thể.,7
"She was released on November 9, 2009.",Bà được thả vào ngày 9 tháng 11 năm 2009.,7
7-Year Prison Sentence Following Arrest in 2001,Bản án 7 năm tù sau khi bị bắt vào năm 2001,7
Please read the related reports for details.,Trong báo cáo này sẽ chia sẻ những thông tin cập nhật gần đây về bà Tô.,7
“I did not see him.” I said.,Tôi liền hiểu và nói: “Tôi không thấy”.,7
"Her husband, son, and daughter-in-law were present.","Chồng, con trai và con dâu của bà đều có mặt.",7
"Wang immediately said, “Are you threatening me?”",Vương lập tức nói: “Bà đang đe dọa tôi đấy à?”,7
"Soon, Wei was blessed for his kindness.","Không lâu sau, ông Vĩ đã được ban phúc vì ủng hộ Đại Pháp.",7
He wasn’t represented by a lawyer either.,Ông cũng không có luật sư đại diện.,7
5-Year Prison Sentence Following Arrest in 2009,"Bản án 4,5 năm tù sau khi bị bắt năm 2009",7
He was then released on house arrest.,Ông bị quản thúc tại gia ngay sau khi được thả.,7
She was only 19 at the time.,Hồi đó cô mới 19 tuổi.,7
Details about his arrest are not clear.,Hiện chưa có thông tin chi tiết về việc bắt giữ.,7
I was also constantly dizzy and drowsy.,Tôi luôn bị chóng mặt và buồn ngủ.,7
"When we returned, our mother was gone.",Khi chúng tôi trở về thì mẹ chúng tôi đã không còn ở nhà nữa.,7
It’s unclear when Zhang convicted Ms. Zhu.,Không có thông tin về thời điểm Trương kết án bà Chu.,7
"By a Minghui correspondent in Beijing, China","Bài viết của phóng viên báo Minh Huệ ở Bắc Kinh, Trung Quốc",7
Mr. Yue refused to let her in.,Ông Nhạc từ chối cho bà ta vào.,7
Targeted for Her Faith Since Age Six,Bị chính quyền nhắm mục tiêu khi mới lên 6 tuổi vì đức tin vào Pháp Luân Công,7
Ms. Zhang after her arms became disabled,Bà Trương với cánh tay bị tàn tật,7
His hands were handcuffed and went numb.,Hai tay ông bị còng và tê bì.,7
The labor camp guards constantly beat him.,Lính canh trong trại lao động liên tục đánh đập ông Phạm.,7
The remaining eleven areas had single-digit cases.,Mười một khu vực còn lại có số trường hợp bị kết án được báo cáo ở một con số.,7
She once described her persecution as follows:,Cô đã từng kể lại những bức hại mà bản thân đã trải qua như sau:,7
He struggled to keep his eyes open.,Ông gắng sức mới mở mắt được.,7
His longest hospital stay was 1.5 years.,"Thời gian nằm viện lâu nhất của ông là 1,5 năm.",7
"By a Minghui correspondent in Chongqing, China","Bài viết của phóng viên báo Minh Huệ ở Trùng Khánh, Trung Quốc",7
They threatened to give him criminal detention.,Họ đe dọa sẽ giam giữ hình sự ông.,7
"By a Minghui correspondent in Jilin Province, China","Bài viết của phóng viên Minh Huệ ở tỉnh Cát Lâm, Trung Quốc",8
"By a Minghui correspondent in Yunnan Province, China","Bài viết của phóng viên báo Minh Huệ ở tỉnh Vân Nam, Trung Quốc",8
