Appeal!”,Kháng cáo!“,1
Beijing,Bắc Kinh,1
Chongqing,Trùng Khánh,1
Tianjin,Thiên Tân,1
Straitjacket,Áo bó,1
Tianjin,Thiên Tân,1
Beijing,Bắc Kinh,1
Arrest,Bắt giữ,1
Trial,Phiên tòa xét xử,1
Arrests,Những vụ bắt giữ,1
Shanghai,Thượng Hải,1
Shanghai,Thượng Hải,1
Chongqing,Trùng Khánh,1
Arrest,Bắt giữ,1
Chongqing,Trùng Khánh,1
Sichuan Province,tỉnh Tứ Xuyên,2
Dazhou City,Thành phố Đạt Châu,2
Zhejiang Province,tỉnh Chiết Giang,2
Mishan City,Thành phố Mật Sơn,2
Heilongjiang Province,tỉnh Hắc Long Giang,2
Liaoning Province,tỉnh Liêu Ninh,2
Brainwashing Sessions,Tẩy não,2
Heilongjiang Province,tỉnh Hắc Long Giang,2
Lishui City,Thành phố Lệ Thủy,2
Geng Ming ,Học Cảnh Minh,2
Tieling City,Thành phố Thiết Lĩnh,2
Forced Labor,Lao động cưỡng bức,2
Liaoning Province,tỉnh Liêu Ninh,2
Latest Arrest,Lần bắt giữ gần nhất,2
Heilongjiang Province,tỉnh Hắc Long Giang,2
Mishan City,Thành phố Mật Sơn,2
Songyuan City,Thành phố Tùng Nguyên,2
Jilin Province,tỉnh Cát Lâm,2
Dezhou City,Thành phố Đức Châu,2
Shandong Province,tỉnh Sơn Đông,2
"She wrote,",Cô viết:,2
Daughter Traumatized,Sự tổn thương của con gái,2
Qing’an County,Huyện Khánh An,2
Zhaodong City,Thành phố Triệu Đông,2
Yingkou City,Thành phố Dinh Khẩu,2
Mr. Zhang ,Ông Trương,2
Heilongjiang Province,tỉnh Hắc Long Giang,2
Hebei Province,tỉnh Hà Bắc,2
Qingdao City,Thành Thanh Đảo,2
Shandong Province,Sơn Đông,2
Zhaoyuan City,Thành Chiêu Viễn,2
Huzhu County,Huyện Hỗ Trợ,2
Jilin City,Thành phố Cát Lâm,2
Shandong Province,Sơn Đông,2
Qinghai Province,tỉnh Thanh Hải,2
Jinzhou City,Thành phố Cẩm Châu,2
Liaoning Province,tỉnh Liêu Ninh,2
Shenyang City,Thành Thẩm Dương,2
Jiujiang City,Thành phố Cửu Giang,2
Jiangxi Province,tỉnh Giang Tây,2
Sichuan Province,Tứ Xuyên,2
Liaoning Province,Liêu Ninh,2
Shulan City,Thành phố Thư Lan,2
Yi Jianming,Đàm Tôn Hoa,2
Harbin City,Thành phố Cáp Nhĩ Tân,2
Heilongjiang Province,tỉnh Hắc Long Giang,2
Gaomi City,Thành phố Cao Mật,2
Shandong Province,tỉnh Sơn Đông,2
Sichuan Province,tỉnh Tứ Xuyên,2
Chengdu City,Thành phố Thành Đô,2
Shenyang City,Thành Thẩm Dương,2
Jilin Province,Cát Lâm,2
Jiaohe City,Thành Giao Hà,2
Tan Zunhua,Nơi sinh: không rõ,2
Yi Jianming,Ngày tháng năm sinh: tháng 4 năm 1968,2
Handan City,Thành phố Hàm Đan,2
Tan Zunhua,Y Kiến Dân,2
Liaoning Province,Liêu Ninh,2
Perpetrator Information,Thông tin thủ phạm:,2
Jilin Province,tỉnh Cát Lâm,2
Shandong Province,tỉnh Sơn Đông,2
Zhang Zhiling,Học Trương Chí Linh,2
Shandong Province,tỉnh Sơn Đông,2
Weifang City,Thành phố Duy Phường,2
Liaoning Province,tỉnh Liêu Ninh,2
Shandong Province,tỉnh Sơn Đông,2
Wafangdian City,Thành phố Ngõa Phòng Điếm,2
Hubei Province,tỉnh Hồ Bắc,2
Suizhou City,Thành phố Tùy Châu,2
Hubei Province,tỉnh Hồ Bắc,2
Songyuan City,Thành phố Tùng Nguyên,2
Jilin Province,tỉnh Cát Lâm,2
Wuhan City,Thành phố Vũ Hán,2
Practitioner Cai ,Học Thái,2
Yichun City,Thành phố Y Xuân,2
Heilongjiang Province,tỉnh Hắc Long Giang,2
Past Persecution,Bức hại trong quá khứ,2
Sichuan Province,tỉnh Tứ Xuyên,2
Past Persecution,Bức hại trước đây,2
Hubei Province,tỉnh Hồ Bắc,2
Mishan City,Thành phố Mật Sơn,2
Suizhou City,Thành phố Tùy Châu,2
Heilongjiang Province,tỉnh Hắc Long Giang,2
Beihai City,Thành phố Bắc Hải,2
Shaanxi Province,tỉnh Thiểm Tây,2
Guangxi Province,tỉnh Quảng Tây,2
Latest Arrest,Vụ bắt giữ gần nhất,2
Baoji City,Thành phố Bảo Kê,2
Zhaodong City,Thành phố Triệu Đông,2
Heilongjiang Province,tỉnh Hắc Long Giang,2
Shandong Province,tỉnh Sơn Đông,2
Pingdu City,Thành phố Bình Độ,2
Chengdu City,Thành phố Thành Đô,2
Repeatedly Targeted,Nhiều lần trở thành mục tiêu bị bức hại,2
Laixi City,Thành phố Lai Tây,2
Fushun City,Thành phố Phủ Thuận,2
Pingdu City,Thành phố Bình Độ,2
Past Persecution,Bức hại trong quá khứ,2
Gao Hengbai ,Học Cao Hanh Bách,2
Shandong Province,tỉnh Sơn Đông,2
Beizhen City,Thành phố Bắc Trấn,2
Liaoning Province,tỉnh Liêu Ninh,2
Tonghua City,Thành phố Thông Hóa,2
Hebei Province,tỉnh Hà Bắc,2
Jilin Province,tỉnh Cát Lâm,2
Laizhou City,Thành phố Lai Châu,2
Heilongjiang Women,Nhà Nữ Hắc Long Giang,2
Heilongjiang Province,Tỉnh Hắc Long Giang,2
Shenyang City,Thành phố Thẩm Dương,2
Latest Arrest,Vụ bắt giữ gần đây nhất,2
Hebei Province,tỉnh Hà Bắc,2
Liaoning Province,tỉnh Liêu Ninh,2
Shijiazhuang City,Thành phố Thạch Gia Trang,2
Liaoning City,tỉnh Liêu Ninh,2
Mr. Yang ,Ông Dương,2
Wife’s Death,Cái chết của người vợ,2
Hebei Province,tỉnh Hà Bắc,2
Jieyang City,Thành phố Yết Dương,2
Guangdong Province,tỉnh Quảng Đông,2
Latest Arrest,Vụ bắt giữ mới nhất,2
Shijiazhuang City,Thành phố Thạch Gia Trang,2
Repeated Persecution,Những trường hợp bị bức hại nhiều lần,2
Huludao City,Thành phố Hồ Lô Đảo,2
Daxinganling City,Thành phố Đại Hưng An Lĩnh,2
Gansu Province,tỉnh Cam Túc,2
Heilongjiang Province,tỉnh Hắc Long Giang,2
Lanzhou City,Thành phố Lan Châu,2
Liaoning Province,tỉnh Liêu Ninh,2
Suining City,Thành Toại Ninh,2
Jilin Province,tỉnh Cát Lâm,2
Jilin Province,tỉnh Cát Lâm,2
Shenyang City,Thành phố Thẩm Dương,2
Linyi City,Thành phố Lâm Nghi,2
Shandong Province,tỉnh Sơn Đông,2
Hunan Province,Hồ Nam,2
Hunan Province,tỉnh Hồ Nam,2
Qingdao City,Thành phố Thanh Đảo,2
Shandong Province,tỉnh Sơn Đông,2
Jilin City,Thành phố Cát Lâm,2
Fushun City,Thành phố Phủ Thuận,2
Nanchang City,Thành phố Nam Xương,2
Jiangxi Province,tỉnh Giang Tây,2
Huaihua City,Thành phố Hoài Hóa,2
Liaoning Province,tỉnh Liêu Ninh,2
Yibin City,Thành Nghi Tân,2
Sichuan Province,Tứ Xuyên,2
Hailin City,Thành Hải Lâm,2
Heilongjiang Province,Hắc Long Giang,2
Maoming City,Thành Mậu Danh,2
Guangdong Province,Quảng Đông,2
Shandong Province,tỉnh Sơn Đông,2
Jilin Province,tỉnh Cát Lâm,2
Family’s Suffering,Nỗi đau của gia đình,2
Shenyang City,Thành phố Thẩm Dương,2
Jilin City,Thành phố Cát Lâm,2
Jilin Province,tỉnh Cát Lâm,2
Liaoning Province,tỉnh Liêu Ninh,2
Harbin City,Thành Cáp Nhĩ Tân,2
Hebei Province,tỉnh Hà Bắc,2
Shanxi Province,tỉnh Sơn Tây,2
Liaoning Province,tỉnh Liêu Ninh,2
Jinan City,Thành phố Tế Nam,2
Sichuan Province,tỉnh Tứ Xuyên,2
Qianwei County,Huyện Kiền Vi,2
Shandong Province,tỉnh Sơn Đông,2
Fushun City,Thành phố Phủ Thuận,2
Sichuan Province,tỉnh Tứ Xuyên,2
Dazhou City,Thành phố Đạt Châu,2
Chengdu City,Thành phố Thành Đô,2
Sichuan Province,tỉnh Tứ Xuyên,2
Sichuan Province,tỉnh Tứ Xuyên,2
Weifang City,Thành phố Duy Phường,2
Chengdu City,Thành phố Thành Đô,2
Heilongjiang Province,tỉnh Hắc Long Giang,2
Daxing’anling Prefecture,Huyện Đại Hưng An Lĩnh,2
Shandong Province,tỉnh Sơn Đông,2
Sichuan Province,tỉnh Tứ Xuyên,2
Li Chenglin,Chức vụ và vị trí,2
Liaoning Province,tỉnh Liêu Ninh,2
Fuyang City,Thành phố Phụ Dương,2
Dalian City,Thành phố Đại Liên,2
Perpetrator Information,Thông tin về thủ phạm bức hại,2
Anhui Province,tỉnh An Huy,2
Mianyang City,Thành phố Miên Dương,2
Zhengding County,Huyện Chính Định,2
Datong City,Thành phố Đại Đồng,2
Heilongjiang Province,Hắc Long Giang,2
Pingdu City,Thành phố Bình Độ,2
Sichuan Province,tỉnh Tứ Xuyên,2
Shandong Province,tỉnh Sơn Đông,2
Dezhou City,Thành phố Đức Châu,2
Chifeng City,Thành Xích Phong,2
Liaoning Province,tỉnh Liêu Ninh,2
Dalian City,Thành phố Đại Liên,2
Inner Mongolia,Nội Mông Cổ,2
Liaoning Province,tỉnh Liêu Ninh,2
Fushun City,Thành phố Phủ Thuận,2
Li Mengjun,Học Lý Mạnh Quân,2
Anlu City,Thành An Lục,2
Hubei Province,Hồ Bắc,2
Chengdu City,Thành phố Thành Đô,2
Shijiazhuang City,Thành phố Thạch Gia Trang,2
Heilongjiang Province,Hắc Long Giang,2
Weihai City,Thành Uy Hải,2
Hebei Province,tỉnh Hà Bắc,2
Zhangjiakou City,Thành phố Trương Gia Khẩu,2
Shandong Province,Sơn Đông,2
Heilongjiang Province,tỉnh Hắc Long Giang,2
Qitaihe City,Thành phố Thất Đài Hà,2
Changsha City,Thành Trường Sa,2
Shandong Province,tỉnh Sơn Đông,2
Qingdao City,Thành phố Thanh Đảo,2
Harbin City,Thành Cáp Nhĩ Tân,2
Hefei City,Thành phố Hợp Phì,2
Liaoning Province,tỉnh Liêu Ninh,2
Anhui Province,tỉnh An Huy,2
Inner Mongolia,Nội Mông Cổ,2
Hubei Province,Hồ Bắc,2
Chibi City,Thành Xích Bích,2
Hunan Province,tỉnh Hồ Nam,2
Shaanxi Province,tỉnh Thiểm Tây,2
Shenyang City,Thành Thẩm Dương,2
Hanzhong City,Thành phố Hán Trung,2
Chen Qing ,Học Trần Thanh,2
Liaoning Province,Liêu Ninh,2
Hunan Province,tỉnh Hồ Nam,2
Past Persecution,Bức hại trong quá khứ,2
Hengyang City,Thành phố Hành Dương,2
Jilin Province,Cát Lâm,2
Huadian City,Thành phố Hoa Điện,2
Changchun City,Thành Trường Xuân,2
Tongliao City,Thành Thông Liêu,2
Ms. Zhao Li ,Bà Triệu Lệ,3
Ms. Wu Fengzhen,Bà Ngô Phong Trân,3
Ms. Li Shuang ,Bà Li Shuang,3
Ms. Xu Shucui ,Bà Từ Thục Thúy,3
Miracles in Life,Những tích trong đời,3
Ms. Tu Qiwei ,Bà Đồ Khải Vy,3
Ms. Wang Xiuli ,Bà Uông Tú Lệ,3
Ms. Zheng Linghua ,Bà Trịnh Linh Hoa,3
Mr. Wang Youbin,Ông Vương Hữu Bân,3
Arrest and Sentencing,Bắt giữ và kết án,3
Mr. Song Zhirong ,Ông Tống Trị Vinh,3
Son’s Earliest Arrest,Vụ bắt giữ đầu tiên của người con trai,3
Ms. Li Xiuzhen,Bà Lý Tú Trân,3
Ms. Pan Yanjun,Ảnh chụp bà Phan Ngạn Quân,3
Xiangxi Autonomous Prefecture,Châu Tương Tây,3
Ms. Gu Jihong,Nhà bà Cố Kế Hồng,3
Truthfulness-Compassion-Forbearance is good!,Chân Thiện Nhẫn hảo!,3
The Sitting Torture,Tra tấn ngồi,3
Ms. Zhang Maoxia ,bà Trương Mậu Hà,3
Ms. Huang Yuanqiao ,bà Hoàng Viễn Kiều,3
Ms. Zeng Jialan ,Bà Tăng Gia Lan,3
Ms. Nie Jingxia ,Bà Niếp Cảnh Hà,3
Ms. Wang Yonghua,Bà Vương Vĩnh Hoa,3
Ms. Wang Juan ,Bà Vương Quyên,3
Mr. Liang Zhihong,ông Lương Chí Hồng,3
Mr. Ying Zhenqiang,Ông Ứng Chấn Cường,3
Mr. Jiang Weimin ,Ông Khương Vĩ Dân,3
Ms. Zhang Weizhen,Bà Trương Vệ Trân ,3
Ms. Dai Ruilian ,Bà Đới Thụy Liên,3
Ms. Zhang Fengqin ,Bà Trương Phượng Cầm,3
Mr. Liu Hongyun,Ông Lưu Hồng Vận,3
Ms. Zhang Yujin ,Bà Trương Ngọc Cầm,3
Ms. Huang Huaiqin,Bà Hoàng Hoài Cầm,3
Ms. Xiu Guangda,Bà Tu Quang Đại,3
Mr. Liang Zhihong,Ông Lương Chí Hồng,3
Title and Position,Nơi sinh: không rõ,3
Ms. Hei Yan ,Bà Hắc Yến,3
Ms. Lin Jie ,Bà Lâm Kiệt,3
Ms. Wen Guoxiang ,Bà Ôn Quốc Hương,3
Ms. Xu Guiyun ,Bà Từ Quế Vân,3
Ms. Liu Mingming ,Bà Lưu Minh Minh,3
Ms. Mo Shanyi ,Bà Mạc Thiên Ích,3
Abused in Prison,Bị ngược đãi ở trong tù,3
Ms. Deng Guiru ,Bà Đặng Quế Như,3
Mr. Zhou Huajian,Ông Chu Hoa Kiến,3
Sentenced to Prison,Bị kết án tù,3
She said no.,Bà nói rằng mình không biết.,3
Mr. Liu Guofeng ,Ông Lưu Quốc Phong,3
Ms. Wang Guiqin ,Bà Vương Quế Cầm,3
Mr. Gong Yubo,Ông Cung Ngọc Bác,3
Ms. Yuan Guijun ,Bà Viên Quế Quân,3
Ms. Liu Guifang,bà Lưu Quế Phương,3
Ms. Liu Chunjie  ,bà Lưu Xuân Kiệt,3
Ms. Xu Guizhen ,Bà Hứa Quế Trân,3
Ms. Meng Qingxia,Bà Mạnh Khánh Hiệp,3
Finding Falun Gong,Tìm kiếm Pháp Luân Công,3
Mr. Shi Xiancheng ,Ông Sử Hiền Thành,3
"Her daughter wrote,",Con gái bà viết:,3
Ms. Li Xia,bà Lý Hà,3
Mr. Zheng Shuli ,Ông Trịnh Thụ Lập,3
Ms. Xiong Cuihuan ,Bà Hùng Thúy Hoàn,3
Ms. Gu Wenhua ,Bà Cốc Văn Hoa,3
Previous Eight-year Sentence,Bản án 8 năm tù trước đây,3
Mr. Li Wanbiao,Ông Lý Vạn Bưu,3
Details are pending.,Hiện tại chưa nhận được thông tin chi tiết.,3
Ms. Liu Pingtong,Bà Lưu Phẩm Đồng,3
Ms. Yang Jinping ,Bà Dương Kim Bình,3
Ms. Yang Hua ,Bà Dương Hoa,3
Mr. Qin Huaibin,Ông Tần Hoài Bân,3
She was 65.,Bà hưởng dương 65 tuổi.,3
Arrest and Sentencing,Bắt giữ và tuyên ántù,3
Ms. Xu Xiuzhen ,bà Từ Tú Trân,3
Medical Conditions Disappear,Bệnh tật biến mất,3
Mr. Qin Songfa,Ông Tần Tùng Phát,3
Ms. Zhang Xiuchun ,Bà Trương Tú Xuân,3
Mr. Wang Haigan,Ông Vương Hải Càn,3
Ms. Li Jun ,Bà Lý Tuấn,3
Ms. Tong Yunxian ,Bà Đông Vân Tiên,3
Mr. Lai Erzhu ,Ông Lai Nhị Trụ,3
Mr. Wang Xingtian,Ông Vương Hưng Điền,3
Ms. Luo Qinzhen ,Bà La Cầm Trân,3
Ms. Zhang Yuxiang ,bà Trương Ngọc Hương,3
Mr. Chen Hongrui,Nhà ông Trần Hồng Thụy,3
Ms. Li Guihua,Bà Lý Quế Hoa,3
Ms. Sun Yuxian,Cô Tôn Ngọc Tiên,3
Ms. Wang Hongyan,Bà Vương Hồng Diễm,3
Ms. Lian Jiarong,Bà Liên Giai Vinh,3
Ms. He Dacui ,Bà Hà Đại Thúy,3
Ms. Guan Fengling,Bà Quan Phượng Linh,3
Ms. Wang Xue,Bà Vương Tuyết,3
Ms. Zou Anping ,bà Trâu An Bình,3
Ms. Zhao Li,Bà Triệu Lệ,3
Ms. Miao Shuqing ,Bà Miêu Thục Khanh,3
Mr. Qin Wei,Ông Tần Úy,3
Two Court Hearings,Hai phiên tòa,3
Ms. Miao Jifeng ,cô Miêu Cát Phượng,3
Ms. Li Li,Cô Lý Lệ,3
Mr. Luo Mingyou,Ông La Minh Hữu,3
Ms. Wang Kezhen,Bà Vương Khả Trân,3
Mr. Yu You ,Ông Vu Hữu,3
Ms. Li Rongju ,bà Lý Vinh Cúc,3
Mr. Wu Xuezhang,Gia ông Vũ Học Chương,3
Ms. Xia Fei ,Bà Hạ Phỉ,3
Mr. Chen Zhikun,Ông Trần Trị Khôn,3
Ms. Tong Shurong,Bà Đồng Thục Vinh,3
Mr. Yang Tiexin ,Ông Dương Thiết Tân,3
Ms. Gao Weiping,Bà Cao Duy Bình,3
Ms. Gu Wenhua,Bà Cốc Văn Hoa,3
Ms. Luo Meilin ,Bà La Mỹ Lâm,3
Ms. Shi Yujie ,Bà Thạch Ngọc Khiết,3
Ms. Cao Yixiang ,Bà Tào Dỹ Hương,3
Ms. Yu Dehui ,Bà Dụ Đức Hội,3
Mr. Li Yanchun,Ông Lý Ngạn Xuân,3
Ms. Xue Shunrong ,Bà Tiết Thuận Dung,3
Mr. Chen Biaohong,Ông Trần Tiêu Hồng,3
Ms. Yu Mei ,Bà Vu Mai,3
Ms. Zhang Yuying ,Bà Trương Ngọc Anh,3
Mr. Ma’s Latest Sentencing,Án tù gần đây nhất của ông Mã,4
Her home was ransacked.,Nhà của cô bị cũng bị lục soát.,4
She refused to go.,Bà từ chối đi tới đó.,4
Overview of Past Persecution,Sơ lược về những bức hại trong quá khứ,4
Those words do work!,Những chữ đó linh nghiệm thật!,4
She soon became emaciated.,Bà nhanh chóng gầy hốc hác.,4
She has been released.,Bà đã được trả tự do.,4
Mr. Wang was arrested.,Ông Vương bị bắt.,4
Taking up Falun Gong,Tu luyện Pháp Luân Công,4
He was almost paralyzed.,Ông gần như bị liệt.,4
Mr. Na Junpeng s ,Ông Na Quân Bằng,4
Taking Up Falun Gong,Tu luyện Pháp Luân Công,4
Ms. Tong Jing’s Case,Vụ bà Đông Tĩnh Viện,4
Ms. Li Hong Released,Bà Lý Hồng,4
Ms. Jiang Xiuying s ,Bà Khương Tú Anh,4
"Four Sentenced, Whereabouts Unknown",Bốn người bị kết án nhưng hiện không rõ nơi giam giữ,4
Arrested Again in 2020,Bị bắt giữ một lần nữa vào năm 2020,4
Twice Sentenced to Prison,Hai án tù,4
Ms. Deng Ling s ,Bà Đặng Linh,4
Her home was ransacked.,Nhà bà bị lục soát.,4
Mr. Yue's Latest Arrest,Lần bị bắt gần đây nhất của ông Nhạc,4
Two Labor Camp Terms,Hai bản án lao động,4
Below are the details.,Dưới đây là thông tin chi tiết.,4
She was then released.,Sau đó bà được thả.,4
Ms. Liang Langui Recently ,Bà Lương Lan Quế,4
Persecution of Elderly Practitioners,Bức hại các học viên cao tuổi,4
Torture instrument: metal chair,Dụng cụ tra tấn: ghế kim loại,4
His home was ransacked.,Nhà của ông đã bị lục soát.,4
"Thank you, thank you!”","Cảm tạ Sư phụ, cảm tạ Sư phụ!”",4
Blessed for Supporting Dafa,Đắc phúc báo vì ủng hộ Đại Pháp,4
Where did they go?,Chúng đi đâu mất rồi?,4
A miracle indeed happened!,Thần tích quả thực đã xảy ra!,4
Mr. Jiang Hongfu s ,Ông Khương Hồng Phúc,4
Torture reenactment: big hang-up,Tái hiện cảnh tra tấn: Treo người cỡ đại,4
Taking Up Falun Gong,Bước vào tu luyện Pháp Luân Công,4
Ms. Zhong Peizhen Persecuted,Bà Chung Bội Trân,4
He went back home.,Anh ấy trở về nhà.,4
Can you help us?”,Cô có thể giúp chúng tôi được không?”,4
Taking up Falun Gong,Bước vào tu luyện Pháp Luân Công,4
Medical Emergency During Interrogation,Điều trị y tế khẩn cấp trong khi thẩm vấn,4
Three Hebei Women Detained,Ba phụ nữ tại tỉnh Hà Bắc bị bắt giữ,4
Wife Arrested in 1999,Ngời vợ bị bắt vào năm 1999,4
He began reading immediately!,Ông ấy bắt đầu đọc ngay lập tức!,4
The cell smelled awful.,Buồng giam cũng bốc mùi.,4
He then arrested her.,"Sau đó, ông ta bắt bà.",4
She did not comply.,"Tuy nhiên, bà ấy đã không hợp tác.",4
I was pretty happy.,Tôi khá hài lòng.,4
By a Minghui correspondent,Bài viết của phóng viên báo Minh Huệ,4
Pill-popper Becomes a Caregiver,Từ bệnh nhân trở thành người chăm sóc người bệnh,4
How amazing is that!,Điều đó thật tuyệt vời làm sao!,4
Taking up Falun Gong,Tu luyện Pháp Luân Công,4
Gradually he recovered fully.,Dần dần anh bình phục hoàn toàn.,4
Handcuffs and Shackles Connected Together,Còng tay nối vào cùmchân,5
Torture at Masanjia Labor Camp,Tra tấn tại Trại Lao động Mã Tam Gia,5
