Baoding City,Thành phố Bảo Định
Hebei Province,tỉnh Hà Bắc
Mr. Hu Shenjia,Ông Hồ Trầm Giai
Chengdu City,Thành phố Thành Đô
Sichuan Province,tỉnh Tứ Xuyên
Ms. Xing Chen,Cô Hình Sâm
Maoming City,Thành phố Mậu Danh
Guangdong Province,tỉnh Quảng Đông
Ms. Huang Yuemei,Bà Hoàng Nguyệt Mai
Leiyang City,Thành phố Lỗi Dương
Hunan Province,tỉnh Hồ Nam
Ms. Chen Pingfang,Bà Trần Bình Phương
Dujiangyan City,Thành phố Đô Giang Yển
Sichuan Province,tỉnh Tứ Xuyên
Ms. Zhou Lanfang,Nhà bà Chu Lan Phương
Dalian City,Thành phố Đại Liên
Liaoning Province,tỉnh Liêu Ninh
Bazhou City,Thành phố Bá Châu
Hebei Province,tỉnh Hà Bắc
Ms. Fan Meiling,Bà Phạm Mỹ Lệnh
Quzhou County,Huyện Quý Châu
Hebei Province,tỉnh Hà Bắc
Mr. Wu Xuezhang,Ông Võ Học Chương
Suifenhe City,Thành phố Tuy Phân Hà
Heilongjiang Province,tỉnh Hắc Long Giang
Ms. Liu Dongmei,Bà Lưu Đông Mai
Hanzhong City,Thành phố Hán Trung
Shaanxi Province,tỉnh Thiểm Tây
Mr. Liu Wei,Ông Lưu Vỹ
Ruichang City,Thành phố Thụy Xương
Jiangxi Province,tỉnh Giang Tây
Ms. Cao Li,Bà Tào Lệ
Anshan City,Thành phố An Sơn
Liaoning Province,tỉnh Liêu Ninh
Mr. Zhao Yubo,Ông Triệu Ngọc Bác
Xilinhot City,Thành phố Tích Lâm Hạo Đặc
Ningxia Hui Autonomous Region,Khu tự trị Hồi Ninh Hạ
Inner Mongolia Autonomous Region,Khu tự trị Nội Mông
Ms. Bian Yuhua,Bà Biên Ngọc Hoa
Ms. Wei Guirong,Bà Vi Quế Vinh
Ms. Zhang Ruyi,Ông Trương Như Nhất
Ms. Wang Guirong,Bà Vương Quế Vinh
Ms. Zhu Yunxiang,Bà Chu Vân Hương
Ms. Liu Qiuhua, Bà Lưu Thu Hoa
Mr. Sun Yushan,ông Tôn Dục Sơn
Ms. Wang Lijuan,bà Vương Lệ Quyên
Mr. Xu Yongqing,ông Từ Vĩnh Thanh
Ningxia Autonomous Region,Khu tự trị Ninh Hạ
Mr. Li Shihai,ông Lý Sỹ Hải
Pingdingshan City,Thành phố Bình Đính Sơn
Ms. Chen Jie,Bà Trần Khiết
Ms. Li Pingxia,Bà Lý Bình Hà
Ms. Luo Cuiqin,bà La Thúy Cầm
Pu Qingfan,Phác Khánh Phạm
Yanbian Korean Autonomous Prefecture,Châu Triều Tiên Diên Biên
Zhu Mingdi,Chu Minh Đích
Mr. Cao Xilin, Ông Tào Hy Lâm
Mr. Du Pinglin,Ông Đỗ Bình Lâm
Ms. Li Weiping,Bà Lý Duy Bình
Mr. Ma Minqing,ông Mã Dân Khánh
Ms. Ge Xuemei,Bà Cát Tuyết Mai
ms. Li Yuying,bà Lý Ngọc Anh
Ningxia Autonomous Region,Khu tự trị Ninh Hạ
Ms. Chen Xiumei,Bà Trần Tú Mai
Ms. Jin Yuling,bà Cận Ngọc Linh
Mr. Li Bing,Ông Lý Bình
Ms. Jia Fengzhi,bà Giả Phượng Chi
Ms. Zhou Ailin,Bà Chu Ái Lâm
Ms. Dongye Guanglan,Bà Đông Dã Quảng Lan
Mr. Li Kai,Ông Lý Khải
ms. Jiang Dailan,bà Giang Đại Lan
Ms. Luo Jiping,bà La Kế Bình
Ms. Liu Aihua,bà Lưu Ái Hoa
Ms. Liang Meihua,bà Lương Mỹ Hoa
Ms. Zhou Chunyu,Bà Chu Xuân Vũ
Mr. Yu Kaixin,ông Dư Khai Tín
Mr. Ma Liangjiu,Ông Mã Lương Cửu
ms. Li Shuqin,bà Lý Thục Cầm
Ms. Cao Qingci,cô Tào Khanh Từ
mr. Luo Daguo,ông La Đại Quốc
Ms. Xu Jingzhi,Bà Từ Cảnh Chi
Ms. Yao Shuxia,bà Diêu Thục Hà
Ms. Cai Guizhen,bà Thái Quế Trân
Yanbian Prefecture,Khu tự trị Diên Biên
Mr. Ma Zhiwu,ông Mã Trí Vụ
Mr. Cai Zicheng,ông Thái Tử Trình
Ms. Ouyang Ruyun,Bà Âu Dương Như Vân
Guangxi Zhuang Autonomous Region,Khu tự trị Choang Quảng Tây
Mr. Zhang Jun,ông Trương Quân
Mr. Han Yuntai,ông Hàn Vận Thái
Ms. Zhang Yuzhen,bà Trương Ngọc Trân
Xinjiang Uyghur Autonomous Region,Khu tự trị Tân Cương
Ms. Wang Chaxing,bà Vương Trà Hưng
Guangxi Autonomous Region,Khu tự trị Quảng Tây
Mr. Jiang Quande,ông Khương Toàn Đức
Ms. Shi Zhihua,bà Thạch Chí Hoa
Ms. Chen Shujun,bà Trần Thục Quân
Ms. Shang Limin,bà Thượng Lệ Mẫn
Mr. Wang Chengwu,Ông Vương Thành Vũ
Ms. Xu Xueli,cô Từ Tuyết Lệ
Mr. Wu Jianming,ông Ngô Kiện Minh
Ms. Zhang Cuizi,Bà Trương Thúy Chi
ms. Tong Xianzhen,bà Đồng Tiên Trân
Ms. Wu Ruifang,bà Ngô Thụy Phương
mr. Li Quanchen,ông Lý Toàn Thần
Mr. Li Huafu,ông Lý Hoa Phúc
Mr. Chen Furong,Ông Trần Phúc Vinh
Inner Mongolia Autonomous Region,Khu tự trị Nội Mông Cổ
Ms. Ma Shufen,bà Mã Thục Phân
Ms. Tang Jilan,Bà Đường Kế Lan
Ms. Qi Qinglian,Bà Tề Thanh Liên
ms. Sun Yanzhi,bà Tôn Diễm Chi
Ms. Yu Yinghua,bà Vu Anh Hoa
Mr. Gong Lihai,Ông Cung Lập Hải
Ms. Zhao Jie,Bà Triệu Kiệt
Mr. Zhu Fulong,Ông Chu Phúc Long
Ms. Lei Meirong,Bà Lôi Mỹ Dung
mr. Liu Bo,Thông ông Lưu Ba
Ms. Mo Xiuwei,Bà Mạc Tú Vi
Ms. Wang Zhen,Bà Vương Trăn
Mr. Tan Bo,Ông Đàm Bắc
Xinjiang Uygur Autonomous Region,Khu tự trị Tân Cương
Mr. Deng Chuanjiu,Ông Đặng Truyền Cửu
Ms. Li Kuiying,bà Lý Khuê Anh
Ms. Na Limei,bà Na Lệ Mai
ms. Zhou Junling,bà Chu Tuấn Linh
mr. Zhang Ximing,anh Trương Hy Minh
ms. Jia Naizhi,bà Giả Nãi Chi
Ms. Xu Xiufen,bà Hứa Quế Phân
Ms. Mo Ruilian,bà Mạc Thụy Liên
Mr. Li Dengchen,ông Lý Đăng Thần
Ms. Yang Weifang,bà Dương Duy Phương
Mr. Mo Qibing,ông Mạc Kỳ Binh
Ms. Tian Lili,Cô Điền Lệ Lệ
ms. Li Guoling,bà Lý Quốc Linh
ms. Zhou Cui'e,bà Chu Thúy Nga
Mr. Song Zhaoheng,Ông Tống Triệu Hằng
Ms. Huang Xiaoli,cô Hoàng Tiểu Lỵ
Mr. Gao Jingqun,ông Cao Kính Quần
Xinjiang Autonomous Region,Khu tự trị Tân Cương
Xilingol League,Minh Tích Lâm Quách Lặc
Mr. Li Baotong,ông Lý Bảo Đồng
Ms. Liu Xiuyun,Bà Lưu Tú Vân
Ms. Zhou Jingchun,bà Chu Cảnh Xuân
Ms. Peng Xiuli,bà Bành Tú Lệ
Ms. Situ Chaoyi,Ông Tư Đồ Triều Ích
Mr. Situ Chaoyi,ông Tư Đồ Siêu Nghĩa
Ms. Xu Muqun,bà Hứa Mộc Quần
Mr. Wang Enguo,Ông Vương Ân Quốc
Maoming City,Thành phố Mậu Danh
Guangdong Province,tỉnh Quảng Đông
Mr. Huang Zhufeng,Ông Hoàng Trụ Phong
Mr. Yu Tao,Du Đào
Daqing City,Thành phố Đại Khánh
Heilongjiang Province,tỉnh Hắc Long Giang
Ms. Feng Lianxia,Bà Phùng Liên Hà
Liaocheng City,Thành phố Liêu Thành
Shandong Province,tỉnh Sơn Đông
Ms. Xu Delan,Bà Hứa Đức Lan
Zhaoyuan City,Thành phố Chiêu Viễn
Hanzhong City,Thành phố Hán Trung
Shaanxi Province,tỉnh Sơn Tây
Ms. Wang Chunlei,Bà Vương Xuân Lôi
Ning’an City,Thành phố Ninh An
Ms. Chen Xueyan,Bà Trần Tuyết Diễm
Handan City,Thành phố Hàm Đan
Hebei Province,tỉnh Hà Bắc
Ms. Qiao Shuxiang,Bà Kiều Thư Hương
Luzhou City,Thành phố Lô Châu
Sichuan Province,tỉnh Tứ Xuyên
Tianjin,Thiên Tân
Mr. Wang Runxiang,Ông Vương Nhuận Tường
Ms. Liu Zhimei,bà Lưu Chí Mai
Longkou City,Thành phố Long Khẩu
Ms. Li Shuqin,Bà Lý Thục Cần
Zhangjiakou City,Thành phố Trương Gia Khẩu
Ms. Liu Shuying,Bà Lưu Thục Anh
Lanzhou City,Thành phố Lan Châu
Gansu Province,tỉnh Cam Túc
Ms. Xie Guifang,Bà Tạ Quế Phương
Zhucheng City,Thành phố Chư Thành
Jingzhou City,Thành phố Kinh Châu
Hubei Province,tỉnh Hồ Bắc
Ms. Zhao Kunli,Bà Triệu Khôn Lệ
Jiujiang City,Thành phố Cửu Giang
Jiangxi Province,tỉnh Giang Tây
Ms. Li Shuilian Fined,Bà Lý Thủy Liên
Shijiazhuang City,Thành phố Thạch Gia Trang
Ms. Zhao Sucai,Bà Triệu Tố Thải
Pingdu City,Thành phố Bình Độ
Ms. Zhang Hongyan,Bà Trương Hồng Diễm
Laixi City,Thành phố Lai Tây
Ms. Li Cuiqing,Bà Lý Thúy Thanh
Mr. Yuan Chongqi,ông Viên Sùng Khởi
Changchun City,Thành phố Trường Xuân
Jilin Province,tỉnh Cát Lâm
Mr. Zhang Guofang,Ông Trương Quốc Phương
Jinan City,Thành phố Tế Nam
Ms. Qi Yingjun,Bà Kỳ Anh Tuấn
Zhanjiang City,Thành phố Trạm Giang
Mr. Chen Shuiqing,Ông Trần Thủy Thanh
Hailin City,Thành phố Hà Lưu
