Physical Conditions Disappear After Writing Solemn Statements Regretting Disrespectful Remarks,Các vấn đề về sức khoẻ biến mất sau khi viết nghiêm chính thanh minh
"Ms. Sha Shuyan, 70, from Heilongjiang Sentenced to 3.5 Years for Her Faith in Falun Gong","Bà Sa Thục Diễm, học viên từ Cáp Nhĩ Tân bị kết án ba năm rưỡi tù"
"Married Couple Lose Their Appeal Against Heavy Sentences for Their Faith, Wife Transferred to Prison","Bị tuyên án chỉ vì đức tin của mình, hai vợ chồng kháng án không thành công, người vợ bị đưa tới nhà tù"
"Ms. Sha Shuyan, 70, from Heilongjiang Sentenced to 3.5 Years for Her Faith in Falun Gong","Bà Sa Thục Diễm, học viên từ Cáp Nhĩ Tân bị kết án ba năm rưỡi tù"
"Married Couple Lose Their Appeal Against Heavy Sentences for Their Faith, Wife Transferred to Prison","Bị tuyên án chỉ vì đức tin của mình, hai vợ chồng kháng án không thành công, người vợ bị đưa tới nhà tù"
"Additional Persecution News from China – August 15, 2023 (11 Reports)",Tin tức bức hại bổ sung từ Trung Quốc – Ngày 15 tháng 8 năm 2023 (11 báo cáo)
Twice Jailed Man Faces Indictment Again for His Faith,Người đàn ông từng hai lần bị cầm tù lại tiếp tục bị buộc tội vì tín ngưỡng của mình
"Mother and Daughter Admitted to Prison, Family Kept in Dark of Their Status","Mẹ và con gái bị bắt cóc đưa vào tù, nửa năm bặt vô âm tín"
"Once Jailed for 3 Years and 10 Months, Shandong Man Gets One Year for His Faith in Falun Gong","Từng bị giam trong 3 năm 10 tháng, một người đàn ông ở Sơn Đông tiếp tục bị kết án một năm tù vì đức tin vào Pháp Luân Công"
79-Year-Old Woman to Face Trial for Her Faith in Falun Gong,Người phụ nữ 79 tuổi sắp bị xét xử vì tu luyện Pháp Luân Công
Mr. Xu Fangquan from Jinan City Sentenced to 2.5 Years for Practicing Falun Gong,"Ông Hứa Phương Tuyền ở thành phố Tế Nam bị kết án 2,5 năm tù vì tu luyện Pháp Luân Công"
"Additional Persecution News from China – August 11, 2023 (8 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 11 tháng 8 năm 2023 (8 báo cáo)
"Additional Persecution News from China – August 10, 2023 (13 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 10 tháng 8 năm 2023 (13 báo cáo)
Hebei Man Sentenced to Three Years for His Faith,Một cư dân Hà Bắc bị kết án 3 năm tù vì kiên định đức tin
"Sentenced for Her Faith in Falun Gong, Woman Tortured in Jiangxi Women’s Prison",Người phụ nữ ở Giang Tây bị tuyên án và tra tấn trong nhà tù chỉ vì đức tin vào Pháp Luân Công
Family of Jilin Man Confirms Location of His Imprisonment Nearly Ten Months After Secret Sentencing,"Người đàn ông Cát Lâm bị xét xử bí mật, 10 tháng sau gia đình ông mới xác nhận được địa điểm giam giữ ông"
"Arrested After Seven Years of Displacement, Hebei Woman Gets Three Years for Her Faith","Sau 7 năm sống lưu lạc, người phụ nữ Hà Bắc bị bắt giữ và bị kết án 3 năm tù vì kiên định đức tin"
"Additional Persecution News from China – August 7, 2023 (8 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc– Ngày 7 tháng 8 năm 2023 (8 báo cáo)
"Shenze County, Hebei Province: One More Arrested in Midnight Police Sweep Confirmed to Have Been Sentenced to Prison","Huyện Thâm Trạch, tỉnh Hà Bắc: Thêm 1 người bị bắt trong cuộc truy quét của cảnh sát lúc nửa đêm bị kết án tù đã được xác nhận"
Court that Sentenced Wife to Seven Years Sentences Husband to 5.5 Years,"Tỉnh Sơn Đông: Người vợ bị kết án 7 năm tù, người chồng bị kết án 5,5 năm tù"
Lupus Cured by Sincerely Reciting the Auspicious Falun Dafa Phrases,Bệnh Lupus ban đỏ được chữa khỏi nhờ thành tâm niệm chín chữ chân ngôn Pháp Luân Đại Pháp
Tianjin Woman Dies One Month After Finishing 5.5-Year Prison Term for Her Faith in Falun Gong,"Một người phụ nữ Thiên Tân qua đời chỉ 1 tháng sau khi mãn hạn bản bán 5,5 năm tù oan sai vì đức tin vào Pháp Luân Công"
Hebei Man’s Family Given Runaround While Seeking to Uncover True Cause of His Tragic Death in Prison,Gia đình người đàn ông Hà Bắc bị gây khó khăn trong khi tìm kiếm nguyên nhân thực sự dẫn đến cái chết bi thảm của ông ở trong tù
"Additional Persecution News from China – August 4, 2023 (16 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 4 tháng 8 năm 2023 (16 báo cáo)
"Hebei Man Suffering Severe Symptoms in Detention, Family Seeks to Hold Police Responsible For Refusing to Disclose His Medical Records","Hà Bắc: Một người đàn ông xuất hiện các triệu chứng nghiêm trọng trong khi bị giam giữ, gia đình yêu cầu cảnh sát chịu trách nhiệm vì đã từ chối tiết lộ hồ sơ y tế của ông"
"65-Year-Old Woman Secretly Sentenced to 3 Years, Recently Admitted to Prison","Người phụ nữ 65 tuổi bị kết án bí mật 3 năm, mới bị chuyển đến nhà tù"
"For Five Months and Counting, Family Kept in Dark of Woman’s Prison Sentence and Barred from Visiting Her",Đã hơn năm tháng gia đình không có tin tức gì về bản án tù của người thân và bị cấm thăm thân
More Than 20 Falun Gong Practitioners Sentenced by Daqing Court Since 2019,Hơn 20 học viên Pháp Luân Công bị Tòa án Đại Khánh kết án kể từ năm 2019
My Brother Was Blessed After He Changed His Notions About Falun Dafa,Anh trai tôi được phúc báo sau khi thay đổi định kiến về Pháp Luân Đại Pháp
The Awakened Crowd Helped Us Escape,Đám đông thức tỉnh đã giúp chúng tôi trốn thoát
More Than 20 Falun Gong Practitioners Sentenced by Daqing Court Since 2019,Hơn 20 học viên Pháp Luân Công bị Tòa án Đại Khánh kết án kể từ năm 2019
70-Year-Old Hebei Man Detained for Distributing Falun Gong Informational Materials,Người đàn ông 70 tuổi ở Hà Bắc bị giam giữ vì phân phát tài liệu thông tin Pháp Luân Công
"Additional Persecution News from China – August 3, 2023 (12 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 3 tháng 8 năm 2023 (12 báo cáo)
"Additional Persecution News from China – July 16, 2023 (9 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – ngày 16 tháng 7 năm 2023 (9 báo cáo)
Belated News: 68-Year-Old Heilongjiang Woman Dies 11 Months After Fifth Arrest for Practicing Falun Gong,Tin muộn: Một ngườiphụ nữ Hắc Long Giang 68 tuổi qua đời sau 11 tháng kể từ vụbắt giữ thứ 5 vì tu luyện Pháp Luân Công
Swiss Heart Surgeon Discloses Insights Into China’s Live Organ Harvesting,Bác sỹ giải phẫu tim tại Thụy Sỹ tiết lộ thông tin chi tiết về nạn thu hoạch nội tạng sống của Trung Quốc
Family Members Resist Harassment for My Faith in Falun Dafa,Người nhà chính niệm chống lại sự sách nhiễu vì đức tin của tôi vào Pháp Luân Đại Pháp
66-year-old Woman Spends 17.5 Years Behind Bars During 24-year Persecution of Her Faith,"Người phụ nữ 66 tuổi ngồi tù 17,5 năm trong suốt 24 năm cuộc bức hại đối với đức tin của bà"
70-Year-Old Woman Held in Same Hospital Where She Was Given 40 Days of Involuntary Treatments Two Years Prior,"Một phụ nữ 70 tuổi bị giam giữ bí mật hơn một năm, chưa rõ sống chết"
"Widowed in the Persecution of Falun Dafa, 70-year-old Man Given Second Prison Term for His Faith (Graphic Photo)",Người đàn ông 70 tuổi bị kết án tù phi pháp lần thứ hai vì kiên định với đức tin của mình
"Additional Persecution News from China – August 1, 2023 (10 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 1 tháng 8 năm 2023 (10 báo cáo)
"Qinhuangdao City, Hebei Province: Updates on Practitioners Targeted Ahead of Communist Regime’s Summer Summit","Thành phố Tần Hoàng Đảo, tỉnh Hà Bắc: Thông tin cập nhật về các học viên bị nhắm mục tiêu trước Hội nghị Bắc Đới Hà"
"Qujing City, Yunnan Province: Ten Arrested in Two Days for Their Faith in Falun Gong","Thành phố Khúc Tĩnh, tỉnh Vân Nam: 10 người bị bắt trong 2 ngày vì kiên định đức tin vào Pháp Luân Công"
"My Husband, a Police Officer, Became Supportive of Dafa",Một cảnh sát như chồng tôi đã quay sang ủng hộ Đại Pháp
"Mother-in-law Sincerely Believes in Dafa, Recovers from Cancer, Blessed with Health and Longevity","Mẹ chồng tôi thành tâm tin vào Đại Pháp, khỏi bệnh ung thư và được ban cho sức khỏe cùng với tuổi thọ"
"Crimes of Liu Jiayi, Secretary of the Shandong Provincial Communist Party Committee, in Persecuting Falun Gong","Tội ác của Lưu Gia Nghĩa, nguyên bí thư tỉnh ủy Sơn Đông, trong cuộc bức hại Pháp Luân Công"
"Panjin City, Liaoning Province: Four Oil Refinery Workers Tried for Their Shared Faith in Falun Gong","Thành phố Bàn Cẩm, tỉnh Liêu Ninh: Bốn công nhân dầu khí bị xét xử vì có cùng đức tin vào Pháp Luân Công"
Father of Two Admitted to Prison to Serve 4.5 Years for His Faith in Falun Gong,"Người bố hai con bị bỏ tù để chấp hành bản án 4,5 năm oan sai vì đức tin của ông vào Pháp Luân Công"
51-Year-Old Man Dies Four Months After Serving 4.5 Years for His Faith in Falun Gong,"Người đàn ông 51 tuổi qua đời sau 4 tháng mãn hạn án tù 4,5 năm vì kiên định đức tin vào Pháp Luân Công"
"Reported in the First Half of 2023: 3,133 Falun Gong Practitioners Arrested or Harassed for Their Faith",Báo cáo nửa đầu năm 2023: 3.133 học viên Pháp Luân Công bị bắt giữ hoặc sách nhiễu vì kiên định đức tin
Ms. Bai Xingwen Imprisoned Nine Months After Her Daughter Ms. Ji Yingwei Dies,Bà Bạch Hưng Văn bị cầm tù chín tháng sau khi con gái bà là cô Quý Anh Mai qua đời
"After Two Years of Forced Labor and 14 Years in Prison, 70-year-old Mr. Yang Xiaoguang Is Sentenced to 3.5 Years for His Faith","Sau hai năm lao động cưỡng bức và 14 năm tù giam, ông Dương Hiểu Quang 70 tuổi lại bị kết án 3,5 năm tù vì đức tin của mình"
"Crimes of Li Rulin, Former Director of the Bureau of Reeducation Through Labor, in Persecuting Falun Gong","Tội ác của Lý Như Lâm, Nguyên Cục trưởng Cục Lao động Cải tạo, trong cuộc bức hại Pháp Luân Công"
"Jilin City, Jilin Province: Additional Information about the Mass Arrest on June 4, 2023","Thành phố Cát Lâm, Tỉnh Cát Lâm: Thông tin bổ sung về vụ bắt giữ hàng loạt vào ngày 4 tháng 6 năm 2023"
Persecution Deaths of 120 Falun Gong Practitioners Reported in the First Half of 2023,120 học viên Pháp Luân Công tử vong vì cuộc bức hại được báo cáo trong nửa đầu năm 2023
Officers Who Befriend a Falun Gong Practitioner Promoted,Những cảnh sát được thăng chức sau khi kết bạn với một học viên Pháp Luân Công
Hubei Woman Secretly Sentenced for Her Faith Is Now Jailed at Same Prison Where She Served a Prior 4-Year Sentence,Người phụ nữ Hồ Bắc bị kết án bí mật vì đức tin hiện đang bị giam trong nhà tù nơi bà từng thụ án 4 năm
